control
([100, 'mae', None, 10, False, 1], 0.0015206520885576551)
([100, 'mae', None, 10, False, 10], 0.0057343129296150803)
([100, 'mae', None, 10, False, 50], 0.014011996370374568)
([100, 'mae', None, 50, True, 1], 0.0076528921908999951)
([100, 'mae', None, 50, True, 10], 0.0079736983150796512)
([100, 'mae', None, 50, True, 50], 0.018995938748100877)
([100, 'mae', None, 50, False, 1], 0.0090117068066298787)
([100, 'mae', None, 50, False, 10], 0.0090117068066298787)
([100, 'mae', None, 50, False, 50], 0.014011996370374568)
year_of_birth
([10, 'mse', 10, 2, True, 1], 0.0013636671859096508)
([10, 'mse', 10, 2, True, 10], 0.0039111018297599926)
([10, 'mse', 10, 2, True, 50], 0.017452925688505309)
([10, 'mse', 10, 2, False, 1], 0.0012132513285371025)
([10, 'mse', 10, 2, False, 10], 0.00394261848718003)
([10, 'mse', 10, 2, False, 50], 0.016197018806012722)
([10, 'mse', 10, 10, True, 1], 0.0017879712978830875)
([10, 'mse', 10, 10, True, 10], 0.0038891894560925564)
([10, 'mse', 10, 10, True, 50], 0.018748075552583846)
([10, 'mse', 10, 10, False, 1], 0.0017525542157443036)
([10, 'mse', 10, 10, False, 10], 0.0039426184871800369)
([10, 'mse', 10, 10, False, 50], 0.016197018806012736)
([10, 'mse', 10, 50, True, 1], 0.0085546309611062177)
([10, 'mse', 10, 50, True, 10], 0.0086722925347962627)
([10, 'mse', 10, 50, True, 50], 0.019430527229532663)
([10, 'mse', 10, 50, False, 1], 0.0092861244988656413)
([10, 'mse', 10, 50, False, 10], 0.0092526686504719388)
([10, 'mse', 10, 50, False, 50], 0.016197018806012736)
([10, 'mse', 20, 2, True, 1], 0.0015308625294799495)
([10, 'mse', 20, 2, True, 10], 0.004139662630919555)
([10, 'mse', 20, 2, True, 50], 0.017182087635778526)
([10, 'mse', 20, 2, False, 1], 0.0012438152776720716)
([10, 'mse', 20, 2, False, 10], 0.0039426184871800395)
([10, 'mse', 20, 2, False, 50], 0.016197018806012733)
([10, 'mse', 20, 10, True, 1], 0.0017534250460106129)
([10, 'mse', 20, 10, True, 10], 0.0039786573356884554)
([10, 'mse', 20, 10, True, 50], 0.01686257680061113)
([10, 'mse', 20, 10, False, 1], 0.0017525542157443036)
([10, 'mse', 20, 10, False, 10], 0.0039426184871800439)
([10, 'mse', 20, 10, False, 50], 0.016197018806012736)
([10, 'mse', 20, 50, True, 1], 0.0088787349344798781)
([10, 'mse', 20, 50, True, 10], 0.0090767437101986117)
([10, 'mse', 20, 50, True, 50], 0.019801115115179565)
([10, 'mse', 20, 50, False, 1], 0.0092861244988656499)
([10, 'mse', 20, 50, False, 10], 0.0092526686504719215)
([10, 'mse', 20, 50, False, 50], 0.016197018806012719)
([10, 'mse', None, 2, True, 1], 0.0011889471980237477)
([10, 'mse', None, 2, True, 10], 0.0037619862066479472)
([10, 'mse', None, 2, True, 50], 0.017103572775341462)
([10, 'mse', None, 2, False, 1], 0.0014522875838433439)
([10, 'mse', None, 2, False, 10], 0.0039426184871800326)
([10, 'mse', None, 2, False, 50], 0.016197018806012719)
([10, 'mse', None, 10, True, 1], 0.0017231188323969522)
([10, 'mse', None, 10, True, 10], 0.004085616615037444)
([10, 'mse', None, 10, True, 50], 0.018998670031479054)
([10, 'mse', None, 10, False, 1], 0.0017525542157443047)
([10, 'mse', None, 10, False, 10], 0.0039426184871800456)
([10, 'mse', None, 10, False, 50], 0.01619701880601274)
